BLDG #,ADDRESS #,STREET,NUMBER OF UNITS (HIP OR GABLE),BLD TYPE,MANUFACTURE,CLASS,COLOR,RE-ROOF COMPLETION,2025 INSP Rating,REPAIR COST,Vent Type (#),Vent Replacement,Partial Gutters,Full Gutter Replacement,DESCRIPTION,Claim Number,,
52,"7647, 51, 53, 55",S ADDISON WAY,4  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Feb-15,2,"$2,042",,,,"$1,385",REPLACE 4 SQUARES OF DAMAGED SHINGLES AND NECESSARY RIDGE CAPS + REPLACE 185' OF GUTTERS,CR0921634,,
53,"7535, 45, 55",S BILOXI CT,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,BURNT SIENNA,,4,,RVs (18)**,,,"$2,857",FULL GUTTER REPLACEMENT,,,
54,"7497, 99, 7507",S BILOXI WAY,3  (H) 2,HIP,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Jan-14,3,,Power 3 ,"$2,658",,," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT. ",,,
55,"7509, 17, 19",S BILOXI WAY,3  (G) 1,HIP,CERTAINTEED,NORTHGATE,MOIRE BLACK,Apr-23,5,,Power 3 ,"$2,752",,," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT. ",,,
56,"7527, 29, 37",S BILOXI WAY,3  (H)2,HIP,CERTAINTEED,NORTHGATE,MOIRE BLACK,Apr-23,5,,Power 3 ,"$2,658",,," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT. ",,,
57,"7539, 47, 49",S BILOXI WAY,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Jan-14,4,,Power 3 ,"$2,752",,"$1,732"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + FULL GUTTER REPLACEMENT ",,,
58,"7551, 59, 67",S BILOXI WAY,3  (H) 2,HIP,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Feb-15,5,,Power 3 ,"$2,658","$1,732","$2,922"," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT + REPLACE 284' OF GUTTERS (FULL REPLACEMENT) ",,,
59,"7569, 77, 79",S BILOXI WAY,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Jan-14,4,,Power 3 ,"$2,752",,," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT. ",,,
60,"7587, 89, 97, 99",S BILOXI WAY,4  (H) 2,HIP,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Jan-14,4,,Power 4 ,"$4,120",,,"REMOVE 4 POWER VENTS, INSTALL RIDGE VENT.",,,
61,"23550, 60, 70",E JAMISON PL,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Feb-14,3,,Power 3 ,"$2,658",,," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT. ",,,
